feature,image,centroid_x,centroid_y
star,single_faint_streak.jpg,245.0,425.0
star,single_faint_streak.jpg,510.0,581.0
star,single_faint_streak.jpg,23.0,123.0
star,single_faint_streak.jpg,480.0,34.0
star,single_faint_streak.jpg,463.0,43.0
star,single_faint_streak.jpg,419.0,232.0
star,single_faint_streak.jpg,211.0,698.0
star,single_faint_streak.jpg,225.0,175.0
star,single_faint_streak.jpg,224.0,5.0
star,single_faint_streak.jpg,674.0,675.0
star,single_faint_streak.jpg,679.0,657.0
star,single_faint_streak.jpg,425.0,81.0
star,single_faint_streak.jpg,400.0,423.0
star,single_faint_streak.jpg,6.0,151.0
star,single_faint_streak.jpg,199.0,160.0
star,single_faint_streak.jpg,673.0,175.0
star,single_faint_streak.jpg,319.0,655.0
star,single_faint_streak.jpg,240.0,25.0
star,single_faint_streak.jpg,65.0,466.0
star,single_faint_streak.jpg,126.0,163.0
star,single_faint_streak.jpg,125.0,677.0
star,single_faint_streak.jpg,532.0,231.0
star,single_faint_streak.jpg,325.0,188.0
star,single_faint_streak.jpg,128.0,17.0
star,single_faint_streak.jpg,75.0,76.0
star,single_faint_streak.jpg,44.0,517.0
star,single_faint_streak.jpg,425.0,179.0
star,single_faint_streak.jpg,626.0,733.0
star,single_faint_streak.jpg,466.0,383.0
star,single_faint_streak.jpg,748.0,691.0
star,single_faint_streak.jpg,676.0,590.0
star,single_faint_streak.jpg,217.0,269.0
star,single_faint_streak.jpg,412.0,508.0
star,single_faint_streak.jpg,512.0,25.0
star,single_faint_streak.jpg,601.0,716.0
star,single_faint_streak.jpg,539.0,310.0
star,single_faint_streak.jpg,321.0,123.0
star,single_faint_streak.jpg,123.0,225.0
star,single_faint_streak.jpg,692.0,27.0
star,single_faint_streak.jpg,608.0,647.0
star,single_faint_streak.jpg,24.0,304.0
star,single_faint_streak.jpg,604.0,76.0
star,single_faint_streak.jpg,475.0,240.0
star,single_faint_streak.jpg,369.0,731.0
star,single_faint_streak.jpg,292.0,708.0
star,single_faint_streak.jpg,415.0,146.0
star,single_faint_streak.jpg,56.0,12.0
star,single_faint_streak.jpg,157.0,314.0
star,single_faint_streak.jpg,46.0,213.0
star,single_faint_streak.jpg,392.0,174.0
star,single_faint_streak.jpg,374.0,437.0
star,single_faint_streak.jpg,619.0,355.0
star,single_faint_streak.jpg,166.0,712.0
star,single_faint_streak.jpg,514.0,44.0
star,single_faint_streak.jpg,7.0,249.0
star,single_faint_streak.jpg,126.0,503.0
star,single_faint_streak.jpg,610.0,42.0
star,single_faint_streak.jpg,625.0,619.0
star,single_faint_streak.jpg,293.0,20.0
star,single_faint_streak.jpg,457.0,70.0
star,single_faint_streak.jpg,257.0,409.0
star,single_faint_streak.jpg,245.0,82.0
star,single_faint_streak.jpg,564.0,732.0
star,single_faint_streak.jpg,56.0,435.0
star,single_faint_streak.jpg,140.0,448.0
star,single_faint_streak.jpg,133.0,366.0
star,single_faint_streak.jpg,105.0,683.0
star,single_faint_streak.jpg,57.0,660.0
star,single_faint_streak.jpg,145.0,713.0
star,single_faint_streak.jpg,470.0,146.0
star,single_faint_streak.jpg,277.0,147.0
star,single_faint_streak.jpg,265.0,528.0
star,single_faint_streak.jpg,417.0,219.0
star,single_faint_streak.jpg,425.0,689.0
star,single_faint_streak.jpg,317.0,249.0
star,single_faint_streak.jpg,521.0,277.0
star,single_faint_streak.jpg,505.0,189.0
star,single_faint_streak.jpg,432.0,518.0
star,single_faint_streak.jpg,559.0,188.0
star,single_faint_streak.jpg,19.0,43.0
star,single_faint_streak.jpg,208.0,498.0
star,single_faint_streak.jpg,44.0,339.0
star,single_faint_streak.jpg,670.0,357.0
star,single_faint_streak.jpg,460.0,412.0
star,single_faint_streak.jpg,75.0,308.0
star,single_faint_streak.jpg,636.0,589.0
star,single_faint_streak.jpg,298.0,366.0
star,single_faint_streak.jpg,174.0,18.0
star,single_faint_streak.jpg,53.0,675.0
star,single_faint_streak.jpg,313.0,338.0
star,single_faint_streak.jpg,23.0,108.0
star,single_faint_streak.jpg,38.0,344.0
star,single_faint_streak.jpg,128.0,116.0
star,single_faint_streak.jpg,526.0,311.0
star,single_faint_streak.jpg,390.0,565.0
star,single_faint_streak.jpg,345.0,74.0
star,single_faint_streak.jpg,699.0,293.0
star,single_faint_streak.jpg,222.0,270.0
star,single_faint_streak.jpg,215.0,392.0
star,single_faint_streak.jpg,373.0,174.0
star,single_faint_streak.jpg,115.0,183.0
star,single_faint_streak.jpg,158.0,467.0
star,single_faint_streak.jpg,518.0,143.0
star,single_faint_streak.jpg,500.0,630.0
star,single_faint_streak.jpg,738.0,494.0
star,single_faint_streak.jpg,509.0,548.0
star,single_faint_streak.jpg,85.0,351.0
star,single_faint_streak.jpg,314.0,156.0
star,single_faint_streak.jpg,469.0,565.0
star,single_faint_streak.jpg,362.0,624.0
star,single_faint_streak.jpg,481.0,165.0
star,single_faint_streak.jpg,504.0,627.0
star,single_faint_streak.jpg,325.0,565.0
star,single_faint_streak.jpg,426.0,113.0
star,single_faint_streak.jpg,424.0,642.0
star,single_faint_streak.jpg,369.0,44.0
star,single_faint_streak.jpg,535.0,256.0
star,single_faint_streak.jpg,225.0,38.0
star,single_faint_streak.jpg,64.0,686.0
star,single_faint_streak.jpg,93.0,514.0
star,single_faint_streak.jpg,299.0,584.0
star,single_faint_streak.jpg,114.0,624.0
star,single_faint_streak.jpg,380.0,232.0
star,single_faint_streak.jpg,192.0,522.0
star,single_faint_streak.jpg,332.0,573.0
star,single_faint_streak.jpg,657.0,16.0
star,single_faint_streak.jpg,96.0,403.0
star,single_faint_streak.jpg,293.0,520.0
star,single_faint_streak.jpg,439.0,440.0
star,single_faint_streak.jpg,150.0,76.0
star,single_faint_streak.jpg,668.0,487.0
star,single_faint_streak.jpg,22.0,229.0
star,single_faint_streak.jpg,523.0,219.0
star,single_faint_streak.jpg,702.0,393.0
star,single_faint_streak.jpg,195.0,104.0
star,single_faint_streak.jpg,525.0,217.0
star,single_faint_streak.jpg,488.0,475.0
star,single_faint_streak.jpg,51.0,164.0
star,single_faint_streak.jpg,200.0,51.0
star,single_faint_streak.jpg,632.0,229.0
star,single_faint_streak.jpg,163.0,689.0
star,single_faint_streak.jpg,476.0,715.0
star,single_faint_streak.jpg,599.0,235.0
star,single_faint_streak.jpg,511.0,7.0
star,single_faint_streak.jpg,72.0,452.0
star,single_faint_streak.jpg,693.0,539.0
star,single_faint_streak.jpg,264.0,495.0
star,single_faint_streak.jpg,48.0,166.0
star,single_faint_streak.jpg,303.0,313.0
star,single_faint_streak.jpg,156.0,693.0
star,single_faint_streak.jpg,149.0,635.0
star,single_faint_streak.jpg,335.0,633.0
star,single_faint_streak.jpg,8.0,637.0
star,single_faint_streak.jpg,310.0,234.0
star,single_faint_streak.jpg,490.0,35.0
star,single_faint_streak.jpg,238.0,44.0
star,single_faint_streak.jpg,226.0,67.0
star,single_faint_streak.jpg,253.0,620.0
star,single_faint_streak.jpg,306.0,563.0
star,single_faint_streak.jpg,478.0,240.0
star,single_faint_streak.jpg,478.0,491.0
star,single_faint_streak.jpg,558.0,454.0
star,single_faint_streak.jpg,370.0,210.0
star,single_faint_streak.jpg,588.0,233.0
star,single_faint_streak.jpg,631.0,525.0
star,single_faint_streak.jpg,207.0,601.0
star,single_faint_streak.jpg,181.0,143.0
star,single_faint_streak.jpg,697.0,284.0
star,single_faint_streak.jpg,692.0,514.0
star,single_faint_streak.jpg,573.0,394.0
star,single_faint_streak.jpg,656.0,630.0
star,single_faint_streak.jpg,686.0,534.0
star,single_faint_streak.jpg,251.0,578.0
star,single_faint_streak.jpg,577.0,151.0
star,single_faint_streak.jpg,119.0,184.0
star,single_faint_streak.jpg,250.0,617.0
star,single_faint_streak.jpg,69.0,18.0
star,single_faint_streak.jpg,389.0,358.0
star,single_faint_streak.jpg,570.0,615.0
star,single_faint_streak.jpg,415.0,506.0
star,single_faint_streak.jpg,603.0,573.0
star,single_faint_streak.jpg,689.0,352.0
star,single_faint_streak.jpg,507.0,359.0
star,single_faint_streak.jpg,499.0,58.0
star,single_faint_streak.jpg,599.0,79.0
star,single_faint_streak.jpg,293.0,617.0
star,single_faint_streak.jpg,70.0,521.0
star,single_faint_streak.jpg,663.0,100.0
star,single_faint_streak.jpg,248.0,400.0
star,single_faint_streak.jpg,619.0,344.0
star,single_faint_streak.jpg,378.0,224.0
star,single_faint_streak.jpg,293.0,280.0
star,single_faint_streak.jpg,140.0,648.0
star,single_faint_streak.jpg,621.0,341.0
star,single_faint_streak.jpg,623.0,339.0
star,single_faint_streak.jpg,552.0,261.0
star,single_faint_streak.jpg,430.0,122.0
star,single_faint_streak.jpg,370.0,219.0
star,single_faint_streak.jpg,305.0,182.0
star,single_faint_streak.jpg,72.0,141.0
star,single_faint_streak.jpg,193.0,128.0
star,single_faint_streak.jpg,350.0,152.0
star,single_faint_streak.jpg,406.0,557.0
star,single_faint_streak.jpg,185.0,415.0
star,single_faint_streak.jpg,630.0,331.0
star,single_faint_streak.jpg,620.0,315.0
star,single_faint_streak.jpg,628.0,333.0
star,single_faint_streak.jpg,219.0,294.0
star,single_faint_streak.jpg,617.0,353.0
star,single_faint_streak.jpg,570.0,726.0
star,single_faint_streak.jpg,609.0,407.0
star,single_faint_streak.jpg,223.0,172.0
star,single_faint_streak.jpg,465.0,477.0
star,single_faint_streak.jpg,102.0,625.0
star,single_faint_streak.jpg,43.0,556.0
star,single_faint_streak.jpg,451.0,407.0
star,single_faint_streak.jpg,535.0,229.0
star,single_faint_streak.jpg,19.0,643.0
star,single_faint_streak.jpg,85.0,419.0
star,single_faint_streak.jpg,4.0,248.0
star,single_faint_streak.jpg,556.0,721.0
star,single_faint_streak.jpg,324.0,625.0
star,single_faint_streak.jpg,106.0,548.0
star,single_faint_streak.jpg,242.0,489.0
star,single_faint_streak.jpg,516.0,632.0
star,single_faint_streak.jpg,0.0,423.0
star,single_faint_streak.jpg,600.0,232.0
star,single_faint_streak.jpg,678.0,331.0
star,single_faint_streak.jpg,728.0,213.0
star,single_faint_streak.jpg,382.0,29.0
star,single_faint_streak.jpg,465.0,669.0
star,single_faint_streak.jpg,512.0,546.0
star,single_faint_streak.jpg,602.0,281.0
star,single_faint_streak.jpg,552.0,343.0
star,single_faint_streak.jpg,602.0,555.0
star,single_faint_streak.jpg,143.0,648.0
star,single_faint_streak.jpg,349.0,657.0
star,single_faint_streak.jpg,718.0,9.0
star,single_faint_streak.jpg,729.0,160.0
star,single_faint_streak.jpg,494.0,1.0
star,single_faint_streak.jpg,170.0,643.0
star,single_faint_streak.jpg,229.0,224.0
star,single_faint_streak.jpg,342.0,75.0
star,single_faint_streak.jpg,36.0,374.0
star,single_faint_streak.jpg,377.0,148.0
star,single_faint_streak.jpg,460.0,45.0
star,single_faint_streak.jpg,484.0,163.0
star,single_faint_streak.jpg,43.0,514.0
star,single_faint_streak.jpg,320.0,284.0
star,single_faint_streak.jpg,348.0,71.0
star,single_faint_streak.jpg,402.0,426.0
star,single_faint_streak.jpg,113.0,660.0
star,single_faint_streak.jpg,727.0,31.0
star,single_faint_streak.jpg,371.0,727.0
star,single_faint_streak.jpg,616.0,295.0
star,single_faint_streak.jpg,706.0,23.0
star,single_faint_streak.jpg,746.0,243.0
star,single_faint_streak.jpg,229.0,659.0
star,single_faint_streak.jpg,298.0,8.0
star,single_faint_streak.jpg,457.0,634.0
star,single_faint_streak.jpg,367.0,551.0
star,single_faint_streak.jpg,78.0,78.0
star,single_faint_streak.jpg,372.0,46.0
star,single_faint_streak.jpg,515.0,308.0
object,single_faint_streak.jpg,623.5,338.0
